Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory
1,156.0,2.6,0.0027,0.0014,1,32,0,1
1,151.85,2.6,0.004,0.004,1,32,0,1
1,147.15,5.46,0.0025,0.0025,0,32,0,1
1,142.84,73.21,-0.0328,-0.0164,0,5,0,24
1,144.89,52.69,-0.0024,-0.0024,0,5,9,6
1,145.48,0.53,-0.0122,-0.0041,0,3,17,10
1,142.1,13.13,0.0019,0.0019,0,0,17,10
1,143.45,102.45,-0.0525,-0.0131,0,0,0,20
1,148.05,0.06,-0.0453,-0.0151,0,3,1,55
1,146.87,3.64,0.0057,0.0011,0,17,1,23
1,144.37,0.77,0.0013,0.0004,1,19,0,22
1,139.78,38.37,0.0059,0.0029,1,18,0,7
1,138.29,9.29,-0.0263,-0.0053,29,9,0,0
1,147.46,49.5,-0.0022,-0.0022,31,0,0,0
1,153.66,6.42,-0.0002,-0.0002,41,0,0,4
1,159.44,83.98,-0.0458,-0.0051,10,0,0,17
1,158.49,118.88,-0.0066,-0.0066,0,0,0,17
1,155.6,123.2,-0.0194,-0.0097,0,0,0,15
1,155.0,99.88,-0.0002,-0.0002,0,0,0,26
1,152.92,14.01,-0.003,-0.003,31,0,0,26
1,165.9,1.17,0.0028,0.0028,31,3,0,26
1,162.42,68.25,-0.0012,-0.0006,18,3,0,13
1,158.57,13.76,-0.0022,-0.0011,19,17,0,9
1,186.13,1.73,-0.0086,-0.0021,1,3,0,78
1,232.89,2.33,-0.0346,-0.0115,8,0,6,56
1,255.83,68.96,-0.0184,-0.0061,0,19,1,25
1,245.89,92.65,-0.0173,-0.0029,31,3,4,2
1,237.07,44.46,-0.0094,-0.0019,3,30,3,4
1,301.17,77.79,-0.0167,-0.0042,9,12,9,11
1,307.01,252.74,-0.0066,-0.0066,0,7,0,3
1,302.88,249.08,-0.0573,-0.0064,0,0,0,20
1,299.68,110.6,-0.0046,-0.0023,0,5,16,7
1,287.34,14.04,-0.0063,-0.0021,4,3,29,0
1,292.42,115.29,-0.0267,-0.0089,4,0,19,0
1,320.57,143.85,-0.0162,-0.004,25,0,9,0
1,312.96,39.62,-0.0104,-0.0026,72,2,0,8
1,327.12,28.06,0.0015,0.0015,72,2,0,12
1,314.88,24.94,-0.047,-0.0067,23,41,0,0
1,304.67,115.07,-0.0372,-0.0046,0,36,1,0
1,334.12,106.98,-0.0054,-0.0027,0,36,2,0
1,327.88,96.33,-0.0002,-0.0002,3,36,2,0
1,316.82,125.37,-0.0598,-0.0075,0,25,1,20
1,309.22,59.8,-0.005,-0.0017,23,1,1,64
1,294.02,25.26,-0.003,-0.0015,12,18,0,62
1,316.52,175.47,-0.004,-0.0013,4,17,1,10
1,318.89,18.28,-0.0594,-0.0085,0,41,8,0
1,310.06,0.86,-0.0491,-0.0098,32,36,0,0
1,295.26,52.42,-0.0217,-0.0024,12,20,0,37
1,283.16,65.96,-0.0371,-0.0053,31,0,14,2
1,312.37,102.13,-0.0074,-0.0025,0,2,20,0
1,302.51,178.22,-0.0157,-0.0078,21,3,0,11
1,313.43,85.98,-0.0206,-0.0051,0,17,13,7
1,303.24,109.62,-0.0012,-0.0002,0,18,0,40
1,295.34,202.14,-0.004,-0.004,0,0,0,40
1,304.94,20.28,-0.0058,-0.0058,0,35,0,33
1,312.11,81.86,-0.0032,-0.0016,0,29,0,23
1,311.85,126.66,-0.0002,-0.0002,0,29,0,7
1,302.42,90.92,-0.0238,-0.0079,0,0,0,75
1,290.42,35.9,-0.0005,-0.0005,0,0,7,75
1,273.34,248.2,-0.0151,-0.0038,0,0,2,4
1,274.62,111.56,-0.0094,-0.0094,29,9,2,1
1,283.31,129.44,-0.0232,-0.0046,0,5,14,4
1,277.54,40.87,-0.0028,-0.0009,1,20,8,28
1,270.73,81.09,-0.0094,-0.0094,1,0,14,33
1,266.54,48.51,-0.0129,-0.0065,22,0,0,67
1,283.3,28.91,-0.0071,-0.0071,0,0,10,67
1,283.24,72.66,-0.0008,-0.0008,0,0,5,67
1,279.25,6.9,-0.0009,-0.0009,0,0,13,67
1,265.08,35.76,-0.0027,-0.0014,0,0,3,88
1,255.65,33.89,-0.0339,-0.0113,17,6,8,34
1,272.85,89.85,-0.0104,-0.0104,0,0,0,75
1,278.85,147.01,-0.0042,-0.0042,3,0,4,35
1,280.21,7.05,-0.0044,-0.0022,3,0,27,17
1,279.25,7.62,-0.001,-0.0005,2,0,23,31
1,328.46,113.63,-0.0007,-0.0004,7,0,16,12
1,327.84,0.2,-0.0006,-0.0003,7,19,16,12
1,322.25,7.85,0.0019,0.0019,4,20,16,12
1,311.37,136.29,-0.014,-0.0028,20,8,5,0
1,303.63,104.58,-0.0039,-0.0013,39,8,0,0
1,330.9,48.18,-0.0063,-0.0063,39,0,0,38
1,329.06,2.74,-0.0085,-0.0042,21,2,10,40
1,333.22,44.42,-0.0048,-0.0008,21,2,6,40
1,324.78,68.32,-0.0022,-0.0022,18,0,6,40
1,311.16,13.73,-0.0057,-0.0019,45,5,0,31
1,292.75,20.43,-0.0246,-0.0041,0,29,1,38
1,319.93,28.19,-0.0106,-0.0027,16,5,18,9
1,320.28,288.46,-0.0571,-0.0114,0,2,2,0
1,318.68,207.43,-0.0453,-0.0091,0,11,5,0
1,314.19,120.84,-0.0326,-0.0041,0,1,14,20
1,304.76,141.23,0.0026,0.0013,0,2,14,11
1,320.39,2.23,-0.047,-0.0059,23,4,0,61
1,308.89,98.77,-0.0128,-0.0043,0,0,0,68
1,291.21,9.21,-0.0195,-0.0049,0,1,2,91
1,286.34,3.6,-0.0121,-0.006,59,1,2,8
1,263.99,21.79,-0.0001,-0.0001,48,0,4,12
1,247.71,200.83,-0.0269,-0.0054,0,1,1,13
1,251.23,2.44,-0.0309,-0.0062,21,11,5,26
1,251.23,1.81,-0.0134,-0.0022,28,13,5,13
1,252.85,57.45,-0.0423,-0.0053,29,8,0,18
1,247.28,1.16,-0.0063,-0.0009,48,1,8,1
1,292.6,81.14,-0.0011,-0.0005,37,1,0,16
1,297.19,155.07,-0.0005,-0.0005,20,1,0,15
1,291.92,25.18,-0.0275,-0.0092,51,1,6,3
1,281.7,77.74,0.0003,0.0003,51,1,0,3
1,278.01,9.21,-0.0,-0.0,51,2,8,1
1,346.11,51.4,-0.0007,-0.0007,51,0,5,1
1,334.97,64.79,-0.0127,-0.0127,19,12,5,20
1,335.06,52.82,-0.0201,-0.0029,0,7,13,34
1,322.85,39.71,0.0,0.0,0,14,9,37
1,309.36,49.37,-0.0098,-0.0049,0,0,7,68
1,325.3,74.66,0.0003,0.0001,1,6,0,68
1,329.48,146.87,-0.011,-0.0055,13,12,0,15
1,326.29,37.74,-0.0449,-0.009,17,0,16,16
1,316.27,72.92,0.0012,0.0006,19,0,16,2
1,308.38,1.18,-0.0108,-0.0036,4,46,0,4
1,339.98,115.46,-0.028,-0.0056,8,1,4,47
1,344.85,171.05,-0.0107,-0.0027,0,12,0,31
1,345.45,242.82,-0.0284,-0.0028,3,9,3,0
1,341.94,168.69,-0.0524,-0.0044,0,0,10,25
1,337.24,7.23,-0.0034,-0.0034,0,26,10,25
1,418.3,106.28,-0.0037,-0.0037,1,6,16,25
1,422.34,49.78,-0.0113,-0.0056,40,0,18,0
1,476.56,398.42,-0.03,-0.006,8,0,0,10
1,473.86,256.55,-0.0274,-0.0137,37,3,0,0
1,456.93,13.21,-0.0095,-0.0032,20,1,0,112
1,433.59,176.22,-0.0562,-0.0051,0,36,0,11
1,484.47,233.42,-0.0123,-0.0123,40,7,0,11
1,483.42,144.64,-0.0654,-0.0055,27,0,0,71
1,487.94,97.34,-0.0146,-0.0073,38,0,0,71
1,481.7,298.58,-0.0067,-0.0067,42,0,0,0
1,471.2,24.55,-0.0207,-0.0104,99,0,4,0
1,513.21,65.1,-0.0031,-0.0015,78,0,9,0
1,501.48,211.37,-0.0147,-0.0074,67,0,0,0
1,488.75,476.33,-0.032,-0.008,3,0,0,0
1,488.6,201.38,-0.1431,-0.0065,33,0,7,28
1,474.74,3.34,-0.0271,-0.0068,72,0,20,0
1,546.58,3.34,0.0015,0.0007,72,0,20,0
1,528.58,85.62,-0.0084,-0.0028,98,0,0,0
1,505.06,293.05,-0.0451,-0.0056,0,0,3,51
1,492.01,291.22,-0.0004,-0.0004,0,5,0,51
1,478.71,4.77,-0.0198,-0.004,1,2,41,25
1,537.24,209.86,-0.0106,-0.0035,0,34,5,16
1,542.62,399.82,-0.0731,-0.0091,0,3,0,40
1,546.05,1.76,-0.0224,-0.0056,0,9,48,0
1,529.73,0.63,-0.0195,-0.0049,0,9,0,151
1,504.29,150.76,-0.0097,-0.0048,0,0,3,110
1,560.61,149.69,-0.0466,-0.0052,2,4,14,69
1,563.84,72.25,-0.0032,-0.0032,0,4,27,55
1,565.37,149.11,-0.0069,-0.0034,17,4,29,0
1,549.46,150.29,-0.0015,-0.0015,17,10,25,0
1,532.77,234.99,-0.0047,-0.0047,17,0,23,0
1,553.23,26.44,-0.0207,-0.0035,88,0,11,0
1,547.07,6.18,-0.0434,-0.0108,2,57,13,0
1,532.09,0.71,-0.0128,-0.0128,2,22,0,96
1,507.85,158.15,-0.0074,-0.0074,1,0,14,56
1,489.1,256.02,-0.007,-0.0035,10,0,12,22
1,517.48,2.02,-0.0124,-0.0031,38,2,0,96
1,538.46,155.63,-0.0085,-0.0085,0,2,11,69
1,534.55,162.43,0.001,0.001,0,1,11,69
1,525.5,88.09,-0.0083,-0.0042,0,1,32,24
1,668.0,563.93,-0.0065,-0.0065,0,1,0,24
1,665.14,0.73,-0.0074,-0.0037,110,1,0,24
1,682.22,405.3,-0.0165,-0.0083,43,0,0,13
1,675.8,7.98,-0.015,-0.0075,120,0,0,13
1,657.73,19.04,-0.0074,-0.0025,109,4,4,2
1,616.02,36.65,-0.0263,-0.0088,10,19,14,64
1,687.51,407.53,-0.0049,-0.0049,13,0,11,17
1,687.25,188.11,-0.0179,-0.0045,28,0,27,0
1,683.51,436.13,-0.0176,-0.0059,42,0,0,0
1,669.65,228.45,-0.0025,-0.0025,74,4,0,0
1,639.33,1.41,-0.0043,-0.0043,118,4,0,0
1,707.67,7.27,-0.0062,-0.0031,80,30,0,0
1,686.77,3.04,-0.0158,-0.0026,108,0,8,1
1,646.69,90.82,-0.001,-0.001,108,0,1,1
1,670.41,90.82,0.0003,0.0003,108,0,1,1
1,673.77,43.98,-0.0025,-0.0025,119,0,0,1
1,637.75,7.7,-0.0096,-0.0019,122,0,1,4
1,669.71,13.33,-0.0013,-0.0013,122,0,0,6
1,665.25,133.75,-0.0532,-0.0059,0,20,0,110
1,691.75,484.49,-0.008,-0.008,8,4,0,37
1,682.7,0.71,-0.0124,-0.0062,11,69,0,38
1,918.6,1.58,-0.0218,-0.0054,0,5,0,196
1,860.62,27.42,-0.0442,-0.0088,0,64,18,0
1,833.86,663.96,-0.0245,-0.0061,7,0,9,0
1,830.85,198.29,-0.0223,-0.0056,64,20,4,0
1,782.21,0.55,-0.082,-0.0102,0,0,0,209
1,878.35,554.8,-0.0175,-0.0058,1,1,0,74
1,857.48,291.04,-0.0104,-0.0104,118,1,0,0
1,812.36,174.48,-0.0185,-0.0046,17,0,54,0
1,919.66,611.14,-0.0344,-0.0115,23,7,13,0
1,911.16,725.32,-0.0564,-0.0056,0,22,0,10
1,904.24,638.58,-0.0656,-0.0131,0,10,1,60
1,938.48,11.6,-0.0203,-0.0041,0,105,0,53
1,975.77,709.28,-0.0121,-0.0121,0,0,24,1
1,999.28,231.57,-0.0094,-0.0047,104,0,11,26
1,954.79,367.78,-0.024,-0.0048,48,4,5,75
1,927.14,280.76,-0.0947,-0.0079,2,0,6,170
1,988.8,513.1,-0.0466,-0.0117,35,26,8,0
1,1005.13,19.61,-0.0045,-0.0045,35,89,7,0
1,991.85,636.11,-0.0149,-0.0074,0,0,7,78
1,982.23,696.63,-0.0137,-0.0068,0,0,5,67
1,1026.25,426.19,-0.023,-0.0058,55,34,0,0
1,1028.58,589.63,-0.0199,-0.0199,0,11,4,69
1,1046.3,604.14,-0.0521,-0.0104,0,29,14,0
1,1022.74,2.53,-0.0388,-0.0039,28,25,45,17
1,983.74,8.69,-0.0048,-0.0048,0,33,53,17
1,950.43,677.21,-0.0201,-0.005,0,11,16,0
1,962.88,5.66,-0.0164,-0.0055,111,11,16,0
1,925.08,632.81,-0.0063,-0.0063,0,11,16,0
1,926.6,168.8,-0.0535,-0.0107,140,0,1,1
1,908.84,23.4,-0.0173,-0.0043,32,84,0,8
1,877.56,693.4,-0.0112,-0.0112,32,1,0,4
1,902.63,102.73,-0.0539,-0.0067,7,87,4,0
1,914.37,222.75,-0.0685,-0.0076,0,30,0,109
1,940.96,4.7,-0.0425,-0.0106,169,0,0,0
1,888.57,95.51,-0.0201,-0.004,142,0,0,12
1,887.21,171.18,-0.0203,-0.0068,14,62,1,38
1,1004.89,21.3,-0.0027,-0.0013,24,85,0,8
1,983.47,104.62,-0.0043,-0.0022,4,91,1,0
1,940.46,3.57,-0.0008,-0.0008,1,97,6,0
1,903.0,60.83,-0.0161,-0.0032,5,33,19,63
1,853.68,108.99,-0.0282,-0.0056,62,3,0,89
1,810.54,449.41,-0.0526,-0.0105,28,26,1,0
1,851.01,93.01,-0.0096,-0.0048,0,37,21,51
1,872.55,396.49,-0.0209,-0.0052,14,31,10,0
1,857.83,208.23,-0.0092,-0.0023,87,0,3,34
1,826.77,136.91,-0.0142,-0.0142,51,0,34,0
1,800.59,103.37,-0.0629,-0.0105,0,0,54,14
1,845.73,3.01,-0.0858,-0.0086,144,0,3,1
1,837.82,223.41,-0.0053,-0.0053,104,0,3,1
1,815.72,368.12,-0.0061,-0.0061,40,0,19,0
1,800.75,385.79,-0.0657,-0.0109,84,0,0,0
1,804.11,2.33,-0.0083,-0.0083,161,0,0,0
1,907.15,606.11,-0.0431,-0.0108,0,0,0,71
1,917.8,538.96,-0.0389,-0.013,0,42,0,0
1,902.26,11.9,-0.0351,-0.0058,0,0,22,140
1,873.46,144.76,-0.0179,-0.006,14,16,32,21
1,1001.07,471.68,-0.0138,-0.0046,14,22,5,38
1,1031.88,563.4,-0.0096,-0.0048,69,3,0,0
1,1031.46,377.02,-0.0018,-0.0018,101,1,0,0
1,1003.06,61.19,-0.0062,-0.0062,120,15,0,16
1,948.92,137.4,-0.0098,-0.0049,128,6,2,0
1,987.84,822.18,-0.0184,-0.0184,0,13,2,0
1,990.06,138.55,-0.0328,-0.0109,0,13,15,102
1,987.13,56.18,-0.0088,-0.0044,16,10,41,16
1,973.24,95.25,-0.0301,-0.0075,16,81,1,0
1,953.42,860.07,-0.0089,-0.0044,13,0,1,0
1,962.83,66.29,-0.0192,-0.0064,0,46,20,19
1,981.91,492.77,-0.005,-0.005,0,46,0,5
1,978.57,7.89,-0.0043,-0.0043,0,46,30,6
1,943.53,451.76,-0.0071,-0.0071,0,0,21,29
1,912.77,551.11,-0.0235,-0.0078,28,0,12,3
1,897.6,0.12,-0.0384,-0.0038,25,7,34,46
1,956.78,0.88,-0.0492,-0.0061,0,4,0,198
1,1022.92,1004.92,-0.014,-0.007,0,2,0,0
1,1023.32,267.48,-0.0837,-0.0209,30,52,3,9
1,996.8,3.85,-0.0068,-0.0068,0,46,14,83
1,951.56,425.09,-0.0043,-0.0014,0,46,9,0
1,1004.58,260.3,-0.0124,-0.0124,0,46,0,73
1,1038.49,22.91,-0.0117,-0.0117,0,19,31,80
1,1069.28,276.83,-0.0129,-0.0026,0,30,26,25
1,1048.27,897.67,-0.0164,-0.0164,5,0,0,25
1,1038.22,883.96,-0.0255,-0.0064,0,0,2,28
1,1036.64,212.4,-0.1045,-0.0065,107,0,1,22
1,1041.28,242.0,-0.0773,-0.0064,25,0,13,101
1,1030.46,0.72,-0.0067,-0.0067,25,25,2,139
1,1009.89,112.8,-0.0335,-0.0056,76,0,3,91
1,1132.71,3.43,-0.0134,-0.0067,174,0,2,0
1,1376.25,976.89,-0.0125,-0.0125,52,0,0,0
1,1401.73,596.87,-0.0392,-0.0078,15,55,0,14
1,1369.48,431.95,-0.0364,-0.0073,26,10,37,0
1,1349.61,393.07,-0.0093,-0.0093,50,10,29,0
