Term,Final Net Worth,Final Cash,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,Winner
182,5641.89,1140.57,162,180,66,0,0
183,8331.08,1277.99,0,957,0,0,1
184,2221.53,4.34,28,150,19,0,0
185,213.25,32.61,16,3,1,21,0
186,181.72,15.07,0,18,0,15,0
187,3575.02,524.55,0,94,165,0,1
188,1461.64,889.18,8,35,0,62,1
189,384.0,2.09,0,1,0,81,0
190,693.71,473.69,0,0,0,57,0
191,9097.53,9097.53,0,0,0,0,0
192,139.75,134.41,1,0,0,0,0
193,2320.22,694.78,58,14,0,400,0
194,9964.67,2169.92,125,690,54,0,1
195,5799.93,4202.36,87,0,8,193,1
196,1183.16,1.56,0,14,59,41,1
197,448.88,168.19,0,1,22,0,0
198,489.38,3.24,0,49,0,1,0
199,4282.29,30.6,74,23,19,775,1
200,211.42,32.9,8,2,0,40,0
201,12360.6,2906.32,0,205,375,176,1
202,2362.29,1054.83,111,10,0,174,0
203,6678.63,2156.25,0,342,0,174,1
204,85.41,41.39,6,1,0,1,0
205,4021.99,4021.99,0,0,0,0,0
206,710.04,1.29,125,0,0,0,0
207,4063.82,0.09,0,264,187,0,1
208,7302.4,402.54,252,333,0,481,0
209,4288.43,3375.88,4,11,51,73,1
210,1284.08,8.7,14,113,0,0,0
211,438.05,47.92,61,2,4,0,0
212,4538.2,593.71,457,0,87,141,0
213,230.05,1.27,0,22,0,1,0
214,409.55,141.66,14,8,3,29,0
215,859.99,0.09,45,13,1,124,0
216,17758.54,17280.14,104,0,0,0,1
217,6038.98,3775.31,149,50,8,101,0
218,3619.0,0.7,93,261,25,216,0
219,497.5,66.02,0,0,16,42,0
220,1028.75,4.63,34,26,1,138,0
221,863.21,443.75,0,18,12,24,0
222,17182.74,14.96,0,369,7,128,1
223,8920.09,3.99,1180,202,0,120,0
224,11637.16,4921.08,0,0,0,1876,0
225,20061.46,20061.46,0,0,0,0,1
226,1086.44,238.73,7,53,17,0,0
227,857.05,10.11,44,0,41,0,0
228,7072.35,3512.63,409,0,85,18,1
229,506.28,303.09,0,0,13,0,0
230,3528.57,3.73,385,136,0,2,0
231,1229.91,652.04,0,61,1,18,0
232,737.26,386.0,0,18,10,0,0
233,7023.45,3542.82,694,0,1,0,0
234,4145.69,1122.23,0,258,0,63,1
235,2645.43,82.19,41,1,10,438,1
236,899.04,0.66,138,0,0,0,0
237,8195.78,928.25,0,585,226,0,1
238,25505.71,23470.67,0,0,158,0,0
239,1717.98,896.92,9,101,0,0,0
240,1249.99,1.17,24,0,42,85,0
241,173.38,88.84,2,5,0,5,0
242,8682.83,6922.29,0,190,0,97,1
243,455.12,318.08,2,10,2,0,0
244,1409.63,411.09,0,11,74,1,0
245,525.6,3.39,0,36,5,42,0
246,914.41,712.62,0,0,17,0,0
247,559.58,33.43,9,30,10,4,0
248,2777.75,957.15,0,170,2,0,1
249,12967.22,12858.66,2,0,0,19,1
250,837.68,372.53,0,15,12,3,0
251,690.35,316.49,0,0,6,59,0
252,22826.16,4298.33,0,179,291,374,1
253,616.47,1.35,132,0,0,0,0
254,790.7,2.78,98,0,0,0,0
255,388.0,178.51,21,2,0,6,0
256,435.41,8.41,2,36,5,0,0
257,270.5,9.23,27,0,0,20,0
258,1327.83,796.98,0,10,41,11,0
259,9547.58,8695.19,189,0,0,0,0
260,11841.54,11554.88,0,58,3,0,0
261,912.19,417.0,43,0,11,0,0
262,361.87,344.07,0,2,0,0,0
263,541.0,500.59,9,0,0,0,0
264,116.32,1.08,1,0,0,28,0
265,394.37,3.74,0,0,11,50,0
266,1163.63,92.63,39,81,7,35,0
267,433.31,235.35,0,14,7,0,0
268,854.48,6.44,0,87,6,0,0
269,868.87,28.6,99,0,21,6,0
270,1539.66,2.16,0,4,44,234,0
271,1928.22,725.38,35,0,31,81,1
272,1890.7,413.7,0,32,76,0,0
273,1783.88,610.36,5,91,0,28,0
274,1306.35,1.91,89,14,0,230,0
275,1380.64,1086.64,0,0,0,70,0
276,3563.76,3.83,333,82,83,0,0
277,809.05,246.68,6,6,7,71,0
278,1133.54,788.06,18,38,0,0,0
279,5833.77,3396.06,198,0,76,19,1
280,2393.61,460.6,314,7,10,0,0
281,835.03,392.95,0,23,0,67,0
282,1280.57,0.27,133,7,0,141,0
283,779.25,205.09,87,12,5,0,0
284,915.41,239.96,37,108,0,0,0
285,194.78,106.93,0,0,7,0,0
286,430.94,77.58,0,22,9,0,0
287,3093.62,2.99,67,1,114,98,1
288,1951.26,19.78,204,114,0,4,1
289,1418.37,546.78,156,0,5,0,0
290,257.03,24.96,0,23,0,0,0
291,546.95,90.47,0,3,0,100,0
292,491.65,289.3,0,19,0,0,0
293,496.51,144.38,3,34,14,0,0
294,627.0,63.12,0,20,4,69,0
295,1229.52,523.46,0,50,0,44,0
296,208.63,43.21,0,10,0,18,0
297,756.81,8.98,16,31,8,55,0
298,2376.82,5.36,299,0,70,1,1
299,35592.18,35592.18,0,0,0,0,1
300,2136.83,1.5,9,0,0,503,1
301,323.92,34.28,7,0,0,52,0
302,13639.45,6720.93,0,0,124,38,1
303,795.95,1.53,157,0,0,0,0
304,292.01,71.85,8,3,3,17,0
305,44767.46,44091.48,32,0,0,99,1
306,1419.95,969.2,7,0,27,11,1
307,22943.91,22815.81,0,14,0,0,1
308,9683.49,2125.14,54,251,271,0,1
309,773.16,3.29,0,1,25,65,0
310,6279.64,0.8,151,473,0,297,1
311,612.41,4.49,0,0,0,136,1
312,180.51,55.5,1,0,4,12,0
313,494.84,64.56,3,8,2,63,0
314,15685.84,15685.84,0,0,0,0,1
315,4346.61,2.41,0,497,168,0,1
316,1272.7,2.3,4,62,20,150,0
317,938.9,139.28,35,2,0,83,0
318,1983.86,4.71,11,2,66,176,1
319,7597.99,7597.99,0,0,0,0,1
320,682.74,180.76,58,27,0,11,0
321,2273.77,76.07,376,26,0,0,0
322,746.79,1.83,0,34,22,15,0
323,888.26,100.75,0,83,0,11,0
324,30526.75,30341.11,0,34,0,0,0
325,24583.71,18978.01,0,290,0,0,1
326,2597.84,541.65,67,252,2,0,1
327,7500.2,671.65,61,282,15,0,0
328,785.9,314.08,83,3,1,0,0
329,1223.43,502.06,16,2,37,0,0
330,3388.87,803.5,98,174,0,239,1
331,2327.32,2133.46,11,13,0,1,0
332,4283.49,1415.02,218,33,0,316,1
333,648.45,49.25,70,15,3,0,0
334,575.69,5.26,26,34,3,22,0
335,5788.73,860.66,51,106,1,918,0
336,1006.16,146.39,8,0,43,9,0
337,4717.99,1050.31,0,0,232,112,1
338,380.87,23.26,1,12,0,58,0
339,322.33,65.05,1,14,0,18,0
340,633.66,125.34,0,2,29,8,0
341,8229.39,5800.06,0,0,53,339,1
342,559.46,559.46,0,0,0,0,0
343,3343.36,1354.07,173,69,39,12,1
344,3039.53,996.9,0,27,121,45,0
345,13442.95,11909.17,61,0,69,0,1
346,2395.96,834.49,57,0,98,0,1
347,535.77,1.53,18,8,0,116,0
348,7264.3,87.71,121,812,10,2,1
349,5583.7,2340.48,141,0,71,254,1
350,591.59,0.92,29,20,0,51,0
351,661.83,221.69,0,16,10,28,0
352,23162.82,21960.15,0,249,0,0,1
353,1106.22,8.2,11,113,2,1,0
354,7731.31,1183.21,60,0,111,12,0
355,478.47,50.47,8,0,28,0,0
356,268.72,87.38,0,0,10,6,0
357,1256.92,445.33,22,2,25,36,0
358,1417.62,0.14,0,7,103,0,0
359,10960.3,890.97,293,20,572,33,1
360,430.47,284.33,0,2,7,3,0
361,219.07,5.16,0,3,13,1,0
362,957.55,15.44,55,0,31,53,0
363,10686.94,3909.81,0,55,405,439,0
364,3615.41,618.94,60,34,162,41,1
365,1774.7,297.79,163,0,46,37,0
366,1203.94,315.84,17,2,0,182,0
367,1252.3,1120.05,25,0,0,0,0
368,2503.3,2134.15,0,0,23,0,0
369,481.09,432.85,0,0,0,12,0
370,6782.99,3728.44,78,23,28,284,0
371,371.05,3.97,0,0,0,69,0
372,1771.9,1.62,22,62,0,224,1
373,2646.22,2.56,92,180,42,182,0
374,9908.53,8340.16,0,129,0,21,1
375,1028.75,2.63,194,0,12,0,0
376,1458.92,4.79,0,151,0,0,0
377,2225.23,10.3,0,0,129,0,0
378,689.9,56.3,0,0,40,0,0
379,102.46,18.81,7,0,0,13,0
380,647.85,216.98,0,3,19,25,0
381,1553.46,3.37,1,141,0,3,0
382,3467.07,1517.1,107,84,23,89,1
383,16928.34,16913.42,1,0,0,0,1
384,8323.36,3905.2,0,0,449,0,0
385,443.22,131.25,8,1,20,0,0
386,18579.84,1414.62,756,325,1,0,1
387,956.79,1.76,88,0,0,97,0
388,1907.64,6.74,100,0,32,290,0
389,9471.14,8913.11,0,0,33,0,1
390,597.27,238.06,3,0,8,40,1
391,1692.63,91.56,0,43,48,115,1
392,1919.75,8.98,160,86,0,177,0
393,10445.42,532.77,0,0,185,45,0
394,257.65,43.51,0,0,16,2,0
395,1350.27,70.06,8,7,67,0,1
396,796.73,74.21,107,6,1,0,0
397,371.4,238.84,19,0,0,5,0
398,103.12,21.43,0,3,6,0,0
399,1019.01,170.3,91,0,17,4,0
400,12172.41,12172.41,0,0,0,0,1
401,9263.92,7107.57,0,0,40,471,0
402,6713.54,6694.44,5,0,0,0,0
403,247.26,0.88,10,1,1,41,0
404,2092.8,401.15,112,83,0,92,0
405,4702.79,189.0,941,1,0,0,1
406,1216.8,117.4,0,0,48,74,1
407,197.96,3.51,12,0,1,24,0
408,662.32,662.32,0,0,0,0,0
409,499.26,18.4,9,6,2,87,0
410,287.76,5.66,0,0,10,30,0
411,565.03,6.71,12,0,37,1,0
412,157.92,8.1,2,15,3,7,0
413,19949.09,19910.73,4,0,1,0,1
414,3906.78,2218.15,247,40,18,0,1
415,573.64,202.44,0,39,2,27,0
416,1233.84,141.94,120,18,7,79,0
417,2461.85,214.63,147,0,0,230,1
418,818.0,93.27,51,91,19,9,0
419,3243.42,2204.28,0,127,31,0,0
420,6563.25,3680.55,0,44,70,435,0
421,342.27,5.76,21,33,3,1,0
422,13351.55,10948.41,231,120,8,0,0
423,2266.65,3.62,12,246,1,0,0
424,2468.22,535.43,371,0,0,2,1
425,1466.19,689.99,2,0,10,178,0
426,1130.01,172.03,33,55,8,63,0
427,20890.52,20890.52,0,0,0,0,1
