Term,Final Net Worth,Final Cash,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,Winner
162,9133.0,8154.72,148,0,0,0,1
163,1688.29,3.48,0,8,16,221,1
164,5524.54,3891.61,37,127,0,6,1
165,12300.21,12089.0,0,15,8,0,0
166,1500.92,1237.58,0,22,0,0,0
167,1446.51,151.47,0,0,0,304,0
168,484.42,3.27,51,31,0,9,0
169,791.61,23.92,3,54,3,26,0
170,3030.04,1736.79,0,175,0,0,0
171,4866.94,4858.67,0,1,0,0,0
172,1266.04,208.59,85,0,59,17,0
173,587.79,19.46,39,27,4,7,0
174,281.0,21.14,7,6,3,21,0
175,943.96,45.47,0,60,25,28,0
176,1219.19,296.6,61,5,35,33,0
177,825.01,642.13,0,18,0,0,0
178,6473.34,3254.28,0,0,154,139,1
179,5167.6,4.74,1,181,53,187,0
180,1302.05,6.1,281,0,0,28,0
181,553.41,0.51,16,17,3,56,0
182,11329.21,1908.87,0,746,33,0,1
183,386.97,91.56,43,1,9,0,0
184,2680.08,13.68,0,112,77,9,1
185,600.56,310.56,0,1,0,82,0
186,9871.71,9536.68,2,0,30,1,0
187,982.79,760.75,0,28,0,0,0
188,457.45,19.3,0,55,1,1,0
189,651.36,3.96,20,30,20,0,0
190,7781.19,0.32,120,5,464,403,1
191,4869.69,3009.09,200,0,0,106,0
192,1249.9,33.45,129,0,13,72,0
193,7036.56,2442.35,133,365,70,3,0
194,8859.78,6.58,0,123,466,569,0
195,557.15,287.86,16,1,8,1,0
196,307.17,11.65,19,0,13,0,0
197,3191.58,19.59,23,105,60,375,1
198,937.58,771.56,2,0,10,3,0
199,82.76,6.08,9,0,2,0,0
200,2601.41,5.84,0,0,241,0,0
201,1067.38,780.86,0,29,0,0,0
202,11543.66,9047.21,90,0,195,0,0
203,763.86,584.9,12,0,7,0,0
204,8466.84,7751.83,127,0,0,0,1
205,1334.16,787.28,47,0,3,8,0
206,337.75,130.2,14,12,1,3,0
207,2231.02,652.44,0,60,0,349,0
208,3152.85,5.27,0,5,225,26,0
209,413.01,54.75,0,42,0,0,0
210,1075.63,29.61,0,4,60,9,0
211,4307.43,3001.88,99,16,47,0,1
212,500.1,44.27,0,17,0,94,0
213,777.75,8.01,28,27,3,50,1
214,3354.11,1159.84,271,6,60,0,1
215,728.88,417.28,16,0,5,43,0
216,443.16,15.42,23,24,10,5,0
217,7496.21,3686.14,2,63,48,651,1
218,14424.35,14416.92,0,1,0,0,0
219,1987.34,828.64,78,0,42,8,0
220,1396.85,238.12,71,0,27,105,0
221,255.66,10.55,19,0,9,1,0
222,9415.95,3447.45,0,28,99,120,0
223,7142.51,4874.46,5,223,0,0,0
224,10863.92,4269.32,764,328,0,0,0
225,237.48,86.82,20,6,0,0,0
226,825.77,234.09,17,3,2,78,0
227,6529.8,394.5,210,27,0,1005,1
228,139.42,3.11,0,0,8,7,0
229,534.96,4.61,26,0,1,72,0
230,4815.34,810.89,0,152,7,609,1
231,1642.2,439.89,42,81,0,87,0
232,7881.93,5383.33,0,0,124,0,1
233,776.25,467.76,0,23,0,34,0
234,378.39,214.08,3,0,9,0,0
235,1204.49,0.26,28,124,1,0,0
236,527.89,273.82,7,0,15,0,0
237,1278.18,935.83,30,13,8,0,0
238,7330.31,5181.46,0,0,166,3,0
239,2670.39,6.04,13,69,89,237,1
240,2746.91,502.91,76,136,0,120,0
241,256.45,1.6,0,21,3,0,0
242,507.32,149.44,57,1,8,0,0
243,5318.65,3294.65,352,0,0,0,1
244,2223.37,655.01,40,10,20,234,1
245,2870.64,1610.54,46,123,0,0,0
246,1291.94,610.9,62,20,6,27,0
247,336.16,193.89,13,0,3,3,0
248,702.73,13.63,1,13,27,16,0
249,738.09,1.0,35,9,8,58,0
250,784.71,48.05,5,0,11,45,0
251,405.1,13.06,0,0,27,0,0
252,2374.61,28.2,12,48,27,97,0
253,772.08,574.1,5,0,5,34,0
254,829.37,783.47,1,2,0,3,0
255,460.68,12.96,0,41,0,0,0
256,1136.89,54.11,0,109,0,14,0
257,513.35,5.41,0,20,21,0,0
258,746.77,297.45,16,0,7,62,0
259,454.59,7.72,69,8,8,0,0
260,6243.18,4831.71,16,9,3,433,0
261,858.84,290.03,0,0,33,2,0
262,876.54,706.7,24,0,0,2,0
263,7454.7,4713.64,442,57,28,0,1
264,11369.58,11331.2,5,0,1,0,0
265,756.72,279.37,23,42,0,0,0
266,1189.73,527.01,106,0,6,0,0
267,952.51,0.2,5,102,0,9,0
268,511.53,70.47,62,2,6,0,0
269,1591.99,6.88,0,0,96,69,0
270,3130.92,2815.96,49,0,0,27,1
271,340.46,0.87,0,1,4,52,0
272,823.76,70.62,26,0,34,16,0
273,3312.34,342.9,0,268,0,0,1
274,8196.09,5534.09,550,0,0,0,1
275,18028.83,18028.83,0,0,0,0,0
276,17655.72,17655.72,0,0,0,0,0
277,1070.88,344.24,42,7,20,7,1
278,15722.08,15678.63,0,0,5,0,1
279,437.37,75.04,26,12,7,0,0
280,5090.34,3653.6,110,71,0,63,1
281,1373.77,52.69,15,120,8,51,0
282,1857.92,919.52,29,87,7,12,1
283,5143.6,4081.67,0,43,63,0,1
284,3115.46,2360.54,0,153,0,9,0
285,276.5,2.57,0,2,11,32,0
286,432.02,161.14,8,0,14,0,0
287,1147.39,240.07,0,0,48,1,0
288,1737.39,56.95,0,3,78,178,0
289,425.56,199.24,39,0,1,3,0
290,360.58,340.4,0,2,0,0,0
291,2286.55,5.71,0,249,0,0,0
292,1055.66,2.29,0,1,0,196,1
293,5754.2,1028.18,51,501,0,201,0
294,803.93,421.89,9,4,1,59,0
295,2154.68,601.7,64,118,0,0,1
296,726.57,278.72,1,17,21,0,0
297,139.53,5.71,15,0,0,11,0
298,481.66,186.39,39,7,0,11,0
299,372.84,34.4,35,24,4,5,0
300,778.85,4.05,0,0,18,134,0
301,3634.57,177.05,84,298,0,3,1
302,1432.44,313.61,30,3,17,0,0
303,4213.31,4184.0,0,3,0,0,1
304,201.82,4.1,13,3,1,13,0
305,14463.42,210.67,55,635,0,0,0
306,872.46,369.42,5,13,0,78,0
307,22096.21,22096.21,0,0,0,0,0
308,1596.23,281.12,0,34,47,33,0
309,489.31,402.93,0,2,2,6,0
310,450.75,234.15,12,8,0,16,0
311,383.19,11.2,2,24,4,11,0
312,763.03,68.74,0,55,4,28,0
313,446.18,103.49,0,29,1,13,0
314,11168.55,11168.55,0,0,0,0,0
315,4021.37,126.59,0,285,170,214,0
316,2587.17,7.56,39,304,0,0,1
317,672.23,266.42,27,2,1,25,0
318,603.97,94.67,0,0,5,88,0
319,538.25,1.04,1,0,33,49,0
320,473.55,13.17,71,3,7,0,0
321,10272.14,8057.76,0,143,39,139,1
322,1068.38,461.84,0,0,9,80,0
323,1287.15,774.67,19,16,0,50,0
324,23625.66,20390.56,0,0,0,346,0
325,8231.86,268.67,276,227,48,0,0
326,871.82,3.32,1,8,25,150,0
327,1673.04,89.43,3,0,77,27,0
328,4325.18,994.31,133,0,22,711,1
329,1294.92,296.67,18,32,23,32,1
330,1549.02,333.54,1,0,73,76,0
331,2745.43,120.36,0,256,19,0,1
332,1385.19,28.2,194,22,1,0,0
333,815.31,10.97,121,0,0,17,0
334,297.8,12.8,6,30,0,0,0
335,1111.43,185.73,66,20,6,0,0
336,3455.72,1928.46,0,95,2,216,1
337,120.49,8.16,1,9,1,0,0
338,315.98,128.0,0,0,13,0,0
339,2326.16,539.18,109,42,22,48,1
340,194.72,106.16,0,9,0,0,0
341,438.56,90.66,37,4,0,18,0
342,12481.17,12421.09,0,0,4,0,1
343,580.26,159.05,43,0,15,0,0
344,7979.96,3548.54,446,145,55,0,1
345,11318.69,7292.16,0,512,0,25,0
346,1498.38,210.76,215,13,3,0,0
347,185.7,42.85,0,5,0,31,0
348,1325.18,443.06,115,0,33,0,0
349,1165.37,445.0,22,22,25,0,0
350,875.51,0.98,68,9,0,76,0
351,742.03,465.6,23,1,0,25,0
352,3684.58,0.63,583,1,0,128,0
353,5734.51,3290.19,9,261,0,16,1
354,16416.41,3.53,224,6,166,606,1
355,438.7,288.88,0,0,11,0,0
356,5880.75,5061.55,0,62,0,35,0
357,3215.19,107.45,0,188,46,0,1
358,995.35,298.63,136,2,0,0,0
359,503.46,3.42,0,30,0,52,0
360,581.73,204.62,0,0,22,5,0
361,1431.42,0.41,91,0,24,146,0
362,307.27,42.66,7,7,1,35,0
363,10799.95,6063.98,332,0,147,313,1
364,1097.06,377.97,123,0,1,0,0
365,7276.89,2663.98,81,301,86,351,0
366,1032.17,554.37,7,4,5,79,0
367,1573.88,0.09,181,56,0,37,0
368,4323.48,6.15,0,269,80,166,1
369,297.52,2.32,45,0,0,0,0
370,7445.76,4787.79,0,69,37,177,0
371,4451.9,1183.04,11,3,0,593,1
372,685.82,378.46,0,3,19,5,0
373,2717.23,147.7,330,82,1,0,0
374,4518.25,3964.65,0,30,17,0,0
375,1849.59,2.44,220,0,83,0,0
376,2332.27,1.05,49,0,0,372,1
377,811.25,56.02,6,0,2,137,0
378,1671.83,111.2,109,0,42,6,0
379,13008.93,11195.8,167,0,0,260,1
380,6486.79,5354.96,0,0,0,259,1
381,4757.23,2623.77,0,79,103,1,1
382,535.07,119.06,19,36,1,0,0
383,768.69,300.95,11,8,2,8,0
384,11750.98,7458.19,0,267,0,654,1
385,229.05,104.28,9,0,6,0,0
386,17453.27,16901.43,0,16,0,0,0
387,599.91,1.82,11,53,0,0,0
388,2286.65,254.98,0,323,0,0,0
389,3759.09,3007.24,40,60,0,1,0
390,557.77,49.23,12,12,13,14,0
391,1061.79,180.06,0,97,2,0,0
392,12835.72,9796.3,22,495,22,60,0
393,3125.6,94.28,138,14,38,36,0
394,1072.36,1048.36,0,3,0,0,0
395,1152.96,633.97,0,0,1,105,0
396,201.24,15.94,0,12,2,10,0
397,25421.31,22484.53,0,0,154,0,1
398,486.14,452.69,0,5,0,0,0
399,4853.36,6.07,0,282,131,3,1
400,680.33,514.1,0,0,9,18,0
401,19725.03,19626.66,0,0,9,0,1
402,6225.19,5045.65,27,0,78,0,0
403,330.06,142.54,0,4,2,31,0
404,4925.07,0.27,105,119,39,615,0
405,1953.76,588.61,285,0,0,0,0
406,853.52,11.57,33,0,21,66,0
407,2507.03,402.91,82,149,11,11,1
408,208.23,38.63,14,0,0,25,0
409,1444.83,767.83,0,5,40,35,0
410,3752.97,796.22,2,0,145,165,1
411,517.56,223.68,39,3,3,1,0
412,4264.56,661.2,0,72,296,0,1
413,10880.59,10880.59,0,0,0,0,0
414,1088.84,406.11,0,68,15,1,0
415,3828.93,0.71,0,0,340,2,0
416,155.62,9.42,9,13,1,1,0
417,597.9,577.62,3,0,0,0,0
418,1672.87,1.28,0,190,35,203,0
419,8576.26,7882.08,0,122,0,0,1
420,8554.88,8106.38,0,0,0,115,1
421,8024.6,6567.72,131,39,44,0,1
422,11764.5,11764.5,0,0,0,0,0
423,10542.8,8967.74,0,133,24,0,1
424,522.76,0.53,0,51,12,1,0
425,9578.59,7254.34,370,0,0,13,1
426,3183.24,865.96,54,255,0,14,0
427,18399.45,18399.45,0,0,0,0,0
